subject,description
AppOnFly Disputed Payment,"Hi awitsayo0808@gmail.com,

We recently received notification that a payment you made to AppOnFly is being disputed due to a reported fraudulent transaction. We take such matters seriously and want to ensure your satisfaction with our service.

We understand that sometimes billing discrepancies can occur, and we're here to help resolve any concerns you may have. However, we also want to emphasize that our records show that your service with AppOnFly is currently active and functioning as expected.

To better understand the nature of the dispute and address any issues promptly, we kindly request your assistance in clarifying the situation. **Could you please provide more details about why the dispute was initiated?** If there has been any confusion or if you believe this dispute was issued in error, we would greatly appreciate your feedback.

Our team is committed to providing you with exceptional service, and we want to ensure that your experience with AppOnFly is positive and trouble-free. If you find that the service is working as expected and that the dispute was issued in error, **we kindly request that you consider withdrawing the dispute to help us expedite the resolution process**.

Please feel free to reply to this message or reach out to our customer support team to discuss the matter further.
Thank you for your cooperation, and we look forward to resolving this issue to your satisfaction.

Sincerely,
AppOnFly Suport Team"
"Sorry, do we have a microphone on yours VPS?","**Sorry, do we have a microphone on yours VPS?**

**And if we have so how we can launch it?**

**Thanks**

**Ill be waiting for yours answer ))**"
VPS is not working,"VPS is not working, I tried all kinds of fixes from your FAQ, still nothing. I would like a refund."
My Application could not run,My Application could not run
Charge made to Richard Daniels,"Hello,

My father, Richard Daniels, passed away on Mar 27, 2024.  I'm his son, David, trying to confirm and cancel all of his subscriptions or purchases, especially those between 11/1/2024 and 3/27/2024 when he was hospitalized, placed in Memory Care, and ultimately Hospice and had no access to his computer or cell phone.  There is a charge of $23.90 on his Visa on 1/29/2024.

My contact information is david.o.daniels@outlook.com and (916) 320-8339. Given his particular and dire circumstances, I respectfully request that this charge be credited back to the Visa on which it was charged.  I have Power of Attorney to act as his Agent and will provide a copy if required.

I sincerely appreciate your assistance,

Dave"
Considering purchase - inquiry,"Dear Sir/Madam,

I am considering purchasing the ‘Windows VPS - 4CPU, 16GB RAM, 250GB SSD’ @250hours service and I was wondering if it would be possible to get a trial run of this variant. The regular trial is capped at 1CPU 2GB RAM which is why I want to upgrade to the fastest tier and I would like to see how smooth it runs before I purchase it - would this be possible? The trial doesn't have to be long as I just want to see how it feels, I'd even be satisfied with a few minutes (<5 mins).

I hope to hear from you soon!

Kind regards,

T. Tikret"
Doesn't work on my chromebook,Hi! I recently purchased the $36 500 hour plan and when i try to connect from my chromebook it doesn't do so. It works on my phone but not my chromebook
concurrent users,"For the silver or gold plan, how many users can access the machine simultaneously?

Thank You!"
No VPS,"I don't see a VPS when I sign in to my Account. The Page “My VPS & Apps” is just empty. I subscript to the plan “Windows VPS - 2CPU, 8GB RAM, 100GB SSD”."
uplné vymazanie učtu na vašom portáli,dobry den poprosím uplne zmazat moj učet aj všetkými udajmi.dakujem
Registration has closed before the specified time,"Hello ;

I would like to inform you that you have closed my session before the specified time. Knowing that I only used 9 hours in almost 2 months.

Please do you best as soon as possible.

Best regards."
Victoria Silvera,"A quien corresponda, tengo una transacción a pagar en mi tarjeta de crédito desde su página, la cual no recuerdo haber solicitado. Solicito darme de baja de dicha suscripción para parar con los cobros y de ser posible el reembolso ya que no se de su procedencia y no se como accedieron a mis datos. Desde la financiera han bloqueado mi tarjeta ya que realicé una consulta por el mencionado débito de el día 15 de Abril por el monto de U$46.90 entre otros ya pagos en Marzo. Espero una respuesta, muchas gracias. Victoria Silvera. Cel 098859121. Melo, Cerro Largo. Uruguay"
Question about monthly plan,"Just had a quick question about your monthly plan - if I install software onto my VPS with the monthly plan, that software will be there the next time I login, correct? I know that's the case with other VPS platforms - just wanted to make sure because I've never used a VPS that has access directly from a browser.

Let me know - thanks,

Dave"
b2b,"Hello!
My name is Pavel.
I represent the payment platform Ctyptomus.com.
Can you please tell me who I can talk to about cooperation?"
usb and keyboard setting,"I'm a subscriber of **Windows VPS - 2CPU, 8GB RAM, 100GB SSD**


Please help me to the virtual machine to:

- set the keyboard to use italian layout

- set the USB to use external devices.

Thanks

Giovambattista Scarfone"
When I try to connect on my chromebook it doesn't work,When I try to connect via chromebook it just infinitely keeps me on the connecting page
Registration closed before the specified time.,"hello :



i want to inform for the second time the first time have been a week ago, you have closed my registration before the specified time. so please do your utmost as soon as possible.

 best regards"
1 gb ram only (i saw your topic),I saw your topic but not helpful for me. Because i want to start a simulator on Bluestacks or Nox or Memu. But i cant do this please help me. I want to use ram.
Connecting...,"Connecting...
Please wait while we prepare VM for you.

AND NOTHING."
Can't start my VPS,"Hello,

I was using my VPS yesterday and I really loved it, but today I can't turn it on. I click on turn on button and wait for more than 10 minutes but it doesn't start, and when I refresh the page I see it hasn't started and I need to click on turn on button again.

BTW, I read your FAQs but solutions didn't solve my problem, I also don't want to reset factory, I've done lots of things there. I only turned it off to keep my hours of service.

What to do? I'm really in need of using it asap

thanks"
Can't connect to VPS,"All i'm getting is Connecting... Please wait while we prepare VM for you. After clicking the connect button

#### Please wait while we prepare VM for you."
I can't start the server,"I can’t do anything, the buttons don’t work, instead it’s always loading. what to do to start the server?"
CONNECTING TO VM issues,My account has been stuck on connecting to vm for ages I have tried all the support. It is frustrating as I nned it
"Nothing showed on ""  My VPS & Apps "" ","Hi dear,

     Hope you are doing well. Kindly note that when I paid the bill , Nothing showed up on the “ My VPS & Apps ” . Can you fix this please as soon as possible.

Thank you."
I need persistent apps,"Hi,



I'm using App on fly to create an environment on a Chromebook to control prototyping equipment (3d printers etc.) I currently need to redownload and initialize the control software each time. Is there a way to persist the software installed on my instance?"
Need to connect via RDP tool ,Need to connect via RDP tool . Please let me know if any supscription is required for it
Can't connect to server,"Are there any issues connecting to server. When click on the connect button all I'm getting is Please wait while we prepare VM for you.

And doesn't go any further."
Refund,"I would like to have a refund for my purchase of 100 hours, because the only reason i bought this was to play roblox, but it crashes saying that it cant run on a virtual machine so may i please have a refund."
This Virtual Privat server ip's are blacklisted and so bad i cant open or do anything i need one that has trusted ip's,please change the ip's of my virtual private machine because these are used for hacking purposes and i can join to anything since its all blacklisted and anonymized.
ssh connection,"i want to connect to my vps via ssh connection but i can't because it stopped from ""services"" in server settings, how can i connect ssh to my vps?"
Wrong offer,"Hi i just bought a Windows VPS with 8gb ram but the on I got is only 2 gb ram, can you change it please , thanks"
Question before buying,"If I buy a plan with 2 GB RAM. And the main thing is how many computers can I use the plan on. What if I use plan in 10 computers at the same time, will I get different VPS?"
I need a VPS that changes the IP every time,"I need a VPS that changes the IP every time I access it, that is, if I delete the VPS and create a new one, I need the IP to be different."
Saving Session between Multiple Login,"Hi

I like to try your Gold Plan. Please ifnorm me, is the session is saved between multiple login or after I disconnection, all session is destroyed.

I want my Chrome Profile Saves for the whole time.



Emranul Hassan"
Delete account,"Hello, I would like to delete my account, cancel all my data in the 2 VPS and be refunded, as I did not use all the hours.

I couldn't access one of the two machines, the system was saying that I should have paid. But the plan ends in one year and I had not used all the hours.

I believe this is a bug.

Overall, very dissatisfied with your product with non existent support.

I would not be surprised if I do not receive any answer from this email."
Upgrade - AppOnFly,"Hello to whom this finds. I have very recently bought a Windows VPS 1CPU, 2GB RAM, 50GB SSD from you guys, and I have found that it is too slow. If possible, I would like to be bumped up to the Windows VPS 2CPU, 8GB RAM, 100GB, cancelling the current one but upgrading to the next. I am fine with the cost, but I just want to get my money back for the 2GB RAM VPS, or just upgraded to the next one which is the 8GB RAM VPS. The plan I wish to use is the **1 Month $23.90USD** plan."
